DoF;Unit;Deflection;Pad_Temperature;Meas_Couch_Type;Couch_Angle;Mean_Absolute_Error;RMSE;Max_Absolute_Error;N_Samples
longitudinal;mm;1;32C;single angle;0;0.13202559759748625;0.1693681153144719;0.5260812810425892;86
longitudinal;mm;2;32C;single angle;0;0.1706101005402742;0.19874636956630204;0.4880786751549806;200
longitudinal;mm;1;RT;single angle;0;0.16426109911510656;0.2275176456901636;0.6217640472194699;85
longitudinal;mm;2;RT;single angle;0;0.21722071285955652;0.25039624404126887;0.525606770908599;199
lateral;mm;1;32C;single angle;0;0.09927203184682115;0.11078812168975381;0.2;86
lateral;mm;2;32C;single angle;0;0.08529668341975415;0.10548347996332191;0.2;200
lateral;mm;1;RT;single angle;0;0.025262558454494783;0.04784555230729513;0.1;85
lateral;mm;2;RT;single angle;0;0.10095291128370844;0.12506553530955614;0.3;199
vertical;mm;1;32C;single angle;0;0.043293112988963066;0.06556572392189049;0.1642525385416404;86
vertical;mm;2;32C;single angle;0;0.057524368371380745;0.07002152086955656;0.11314382408668999;200
vertical;mm;1;RT;single angle;0;0.06282585655974879;0.07988159822436433;0.20000000000000007;85
vertical;mm;2;RT;single angle;0;0.04926030562970235;0.06344659169674954;0.14992774323858252;199
roll;deg;1;32C;single angle;0;0.014460862125521176;0.03469686676683662;0.09739920790113012;86
roll;deg;2;32C;single angle;0;0.07310987399768568;0.12371901951042939;0.27712662538250976;200
roll;deg;1;RT;single angle;0;0.01956400077625466;0.04088897674590314;0.09739920790113012;85
roll;deg;2;RT;single angle;0;0.08646250068474934;0.13557110039664005;0.37712662538250974;199
pitch;deg;1;32C;single angle;0;0.04042262283424492;0.05432749495272235;0.136301291719505;86
pitch;deg;2;32C;single angle;0;0.06159749925252258;0.08503518423616001;0.19912065821696068;200
pitch;deg;1;RT;single angle;0;0.05006891781724328;0.0611152162981649;0.1297273532733918;85
pitch;deg;2;RT;single angle;0;0.04456469193519224;0.06189044128309482;0.14117124442689866;199
yaw;deg;1;32C;single angle;0;0.10144341356983373;0.2158215238488398;0.623451961246148;86
yaw;deg;2;32C;single angle;0;0.13864207905709258;0.3020239764773983;0.7992608471124234;200
yaw;deg;1;RT;single angle;0;0.09356194655989454;0.1858370452055463;0.4850155528247252;85
yaw;deg;2;RT;single angle;0;0.16519675659017855;0.33467019257315483;0.8474556313232988;199
