Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
52.264;0.0;0.0;-0.0;0.0;-0.0;0.0
52.372;0.0;0.0;-0.0;0.0;-0.0;0.0
52.487;0.0;0.0;-0.0;0.0;-0.0;0.0
52.597;0.0;0.0;-0.0;0.0;-0.0;0.0
52.707;0.0;0.0;-0.0;0.0;-0.0;0.0
52.813;0.0;0.0;-0.0;0.0;-0.0;0.0
52.914;0.0;0.0;-0.0;0.0;-0.0;0.0
53.022;0.0;0.0;-0.0;0.0;-0.0;0.0
53.137;0.0;0.0;-0.0;0.0;-0.0;0.0
53.241;0.0;0.0;-0.0;0.0;-0.0;0.0
53.355;0.0;0.0;-0.0;0.0;-0.0;0.0
53.463;0.0;0.0;-0.0;0.0;-0.0;0.0
53.572;0.0;0.0;-0.0;0.0;-0.0;0.0
53.682;0.0;0.0;-0.0;0.0;-0.0;0.0
53.793;0.0;0.0;-0.0;0.0;-0.0;0.0
53.902;0.0;0.0;-0.0;0.0;-0.0;0.0
54.013;0.0;0.0;-0.0;0.0;-0.0;0.0
54.132;0.0;0.0;-0.0;0.0;-0.0;0.0
54.236;0.0;0.0;-0.0;0.0;-0.0;0.0
54.342;0.0;0.0;-0.0;0.0;-0.0;0.0
54.454;0.0;0.0;-0.0;0.0;-0.0;0.0
54.563;0.0;0.0;-0.0;0.0;-0.0;0.0
54.676;0.0;0.0;-0.0;0.0;-0.0;0.0
54.788;0.0;0.0;-0.0;0.0;-0.0;0.0
54.889;0.0;0.0;-0.0;0.0;-0.0;0.0
54.99;0.0;0.0;-0.0;0.0;-0.0;0.0
55.102;0.0;0.0;-0.0;0.0;-0.0;0.0
55.216;0.0;-0.61625;-0.0;0.0;-0.0;0.0
55.324;0.0;-1.12;-0.0;0.0;-0.0;0.0
55.429;0.0;-1.63125;-0.0;0.0;-0.0;0.0
55.545;0.0;-2.3975;-0.0;0.0;-0.0;0.0
55.654;0.0;-2.9025;-0.0;0.0;-0.0;0.0
55.765;0.0;-3.41125;-0.0;0.0;-0.0;0.0
55.876;0.0;-3.92125;-0.0;0.0;-0.0;0.0
55.984;0.0;-4.425;-0.0;0.0;-0.0;0.0
56.094;0.0;-4.92125;-0.0;0.0;-0.0;0.0
56.205;0.0;-5.0;-0.0;0.0;-0.0;0.0
56.315;0.0;-5.0;-0.0;0.0;-0.0;0.0
56.426;0.0;-5.0;-0.0;0.0;-0.0;0.0
56.54;0.0;-5.0;-0.0;0.0;-0.0;0.0
56.645;0.0;-5.0;-0.0;0.0;-0.0;0.0
56.755;0.0;-5.0;-0.0;0.0;-0.0;0.0
56.87;0.0;-5.0;-0.0;0.0;-0.0;0.0
56.98;0.0;-5.0;-0.0;0.0;-0.0;0.0
57.091;0.0;-5.0;-0.0;0.0;-0.0;0.0
57.196;0.0;-5.0;-0.0;0.0;-0.0;0.0
57.299;0.0;-5.0;-0.0;0.0;-0.0;0.0
57.409;0.0;-5.0;-0.0;0.0;-0.0;0.0
57.524;0.0;-5.0;-0.0;0.0;-0.0;0.0
57.628;0.0;-5.0;-0.0;0.0;-0.0;0.0
57.738;0.0;-5.0;-0.0;0.0;-0.0;0.0
57.851;0.0;-5.0;-0.0;0.0;-0.0;0.0
57.96;0.0;-5.0;-0.0;0.0;-0.0;0.0
58.071;0.0;-5.0;-0.0;0.0;-0.0;0.0
58.184;0.0;-5.0;-0.0;0.0;-0.0;0.0
58.294;0.0;-5.0;-0.0;0.0;-0.0;0.0
58.406;0.0;-4.9675;-0.0;0.0;-0.0;0.0
58.512;0.0;-4.2575;-0.0;0.0;-0.0;0.0
58.624;0.0;-3.75;-0.0;0.0;-0.0;0.0
58.734;0.0;-3.24125;-0.0;0.0;-0.0;0.0
58.835;0.0;-2.7375;-0.0;0.0;-0.0;0.0
58.942;0.0;-2.22875;-0.0;0.0;-0.0;0.0
59.043;0.0;-1.72125;-0.0;0.0;-0.0;0.0
59.167;0.0;-0.965;-0.0;0.0;-0.0;0.0
59.277;0.0;-0.45625;-0.0;0.0;-0.0;0.0
59.39;0.0;-0.01875;-0.0;0.0;-0.0;0.0
59.502;0.0;0.0;-0.0;0.0;-0.0;0.0
59.611;0.0;0.0;-0.0;0.0;-0.0;0.0
59.724;0.0;0.0;-0.0;0.0;-0.0;0.0
59.825;0.0;0.0;-0.0;0.0;-0.0;0.0
59.928;0.0;0.0;-0.0;0.0;-0.0;0.0
60.044;0.0;0.0;-0.0;0.0;-0.0;0.0
60.149;0.0;0.0;-0.0;0.0;-0.0;0.0
60.261;0.0;0.0;-0.0;0.0;-0.0;0.0
60.371;0.0;0.0;-0.0;0.0;-0.0;0.0
60.482;0.0;0.0;-0.0;0.0;-0.0;0.0
60.592;0.0;0.0;-0.0;0.0;-0.0;0.0
60.701;0.0;0.0;-0.0;0.0;-0.0;0.0
60.81;0.0;0.0;-0.0;0.0;-0.0;0.0
60.921;0.0;0.0;-0.0;0.0;-0.0;0.0
61.031;0.0;0.0;-0.0;0.0;-0.0;0.0
61.143;0.0;0.0;-0.0;0.0;-0.0;0.0
61.254;0.0;0.0;-0.0;0.0;-0.0;0.0
61.364;0.0;0.0;-0.0;0.0;-0.0;0.0
61.478;0.0;0.0;-0.0;0.0;-0.0;0.0
61.585;0.0;0.0;-0.0;0.0;-0.0;0.0
61.695;-0.0;0.08375;0.0;0.0;-0.0;0.0
61.807;-0.0;0.5775;0.0;0.0;-0.0;0.0
61.919;-0.0;1.34;0.0;0.0;-0.0;0.0
62.03;-0.0;1.84375;0.0;0.0;-0.0;0.0
62.143;-0.0;2.3525;0.0;0.0;-0.0;0.0
62.259;-0.0;2.865;0.0;0.0;-0.0;0.0
62.372;-0.0;3.63125;0.0;0.0;-0.0;0.0
62.48;-0.0;4.14625;0.0;0.0;-0.0;0.0
62.589;-0.0;4.655;0.0;0.0;-0.0;0.0
62.698;-0.0;5.17;0.0;0.0;-0.0;0.0
62.807;-0.0;5.6825;0.0;0.0;-0.0;0.0
62.91;-0.0;6.44625;0.0;0.0;-0.0;0.0
63.012;-0.0;6.70375;0.0;0.0;-0.0;0.0
63.121;-0.0;7.4725;0.0;0.0;-0.0;0.0
63.234;-0.0;7.975;0.0;0.0;-0.0;0.0
63.341;-0.0;8.48375;0.0;0.0;-0.0;0.0
63.451;-0.0;8.99125;0.0;0.0;-0.0;0.0
63.557;-0.0;9.49375;0.0;0.0;-0.0;0.0
63.672;-0.0;9.96;0.0;0.0;-0.0;0.0
63.787;-0.0;9.765082899416866;0.008520903320333492;0.049498982170267464;-0.0;0.0
63.894;-0.0;9.045241931452619;0.03318589760696336;0.2013577251196133;-0.0;0.0
64.005;-0.0;8.333206609556216;0.05543071870786209;0.35184213395278674;-0.0;0.0
64.105;-0.0;7.2719419421942;0.08458699190002282;0.5766422647981903;-0.0;0.0
64.208;-0.0;6.916876387204683;0.09326734140417586;0.6519903275130199;-0.0;0.0
64.319;-0.0;6.202195694790084;0.109096861961969;0.8038622179951385;-0.0;0.0
64.429;-0.0;5.49183513434762;0.12264593827083597;0.9550966972787553;-0.0;0.0
64.541;-0.0;4.416697960194361;0.13898231532277763;1.184529487998043;-0.0;0.0
64.651;-0.0;3.708501231061983;0.14698137053893043;1.3360155643385798;-0.0;0.0
64.763;-0.0;2.9925679113283348;0.15282333697915806;1.4894486359106445;-0.0;0.0
