Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
729.372;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
729.475;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
729.598;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
729.698;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
729.801;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
729.912;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
730.023;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
730.135;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
730.246;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
730.358;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
730.463;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
730.579;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
730.688;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
730.8;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
730.902;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.005;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.119;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.221;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.323;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.424;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.543;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.643;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.744;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.845;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
731.945;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
732.046;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
732.146;0.0;0.0;-0.0;0.0;-91.56832046643342;0.0
732.248;0.3075;-1.8828944536890554e-17;-0.0;0.0;-91.56832046643342;0.0
732.355;0.81375;-4.982781664030793e-17;-0.0;0.0;-91.56832046643342;0.0
732.465;1.32375;-8.105631001856544e-17;-0.0;0.0;-91.56832046643342;0.0
732.566;2.09;-1.279755905108984e-16;-0.0;0.0;-91.56832046643342;0.0
732.676;2.59625;-1.589744626143158e-16;-0.0;0.0;-91.56832046643342;0.0
732.787;3.105;-1.901264155676266e-16;-0.0;0.0;-91.56832046643342;0.0
732.888;3.615;-2.2135490894588411e-16;-0.0;0.0;-91.56832046643342;0.0
732.991;4.125;-2.525834023241416e-16;-0.0;0.0;-91.56832046643342;0.0
733.092;4.635;-2.838118957023991e-16;-0.0;0.0;-91.56832046643342;0.0
733.205;5.0;-3.061616997868383e-16;-0.0;0.0;-91.56832046643342;0.0
733.312;5.0;-3.061616997868383e-16;-0.0;0.0;-91.56832046643342;0.0
733.422;5.0;-3.061616997868383e-16;-0.0;0.0;-91.56832046643342;0.0
733.529;5.0;-3.061616997868383e-16;-0.0;0.0;-91.56832046643342;0.0
733.646;5.0;-3.061616997868383e-16;-0.0;0.0;-91.56832046643342;0.0
733.747;5.0;-3.061616997868383e-16;-0.0;0.0;-91.56832046643342;0.0
733.857;5.0;-3.061616997868383e-16;-0.0;0.0;-91.56832046643342;0.0
733.962;5.0;-3.061616997868383e-16;-0.0;0.0;-91.56832046643342;0.0
