Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
202.046;0.0;0.0;-0.0;0.0;-0.0;-0.0
202.148;0.0;0.0;-0.0;0.0;-0.0;-0.0
202.263;0.0;0.0;-0.0;0.0;-0.0;-0.0
202.375;0.0;0.0;-0.0;0.0;-0.0;-0.0
202.484;0.0;0.0;-0.0;0.0;-0.0;-0.0
202.592;0.0;0.0;-0.0;0.0;-0.0;-0.0
202.705;0.0;0.0;-0.0;0.0;-0.0;-0.0
202.807;0.0;0.0;-0.0;0.0;-0.0;-0.0
202.918;0.0;0.0;-0.0;0.0;-0.0;-0.0
203.026;0.0;0.0;-0.0;0.0;-0.0;-0.0
203.14;0.0;0.0;-0.0;0.0;-0.0;-0.0
203.245;0.0;0.0;-0.0;0.0;-0.0;-0.0
203.361;0.0;0.0;-0.0;0.0;-0.0;-0.0
203.472;0.0;0.0;-0.0;0.0;-0.0;-0.0
203.581;0.0;0.0;-0.0;0.0;-0.0;-0.0
203.688;0.0;0.0;-0.0;0.0;-0.0;-0.0
203.792;0.0;0.0;-0.0;0.0;-0.0;-0.0
203.898;0.0;0.0;-0.0;0.0;-0.0;-0.0
204.009;0.0;0.0;-0.0;0.0;-0.0;-0.0
204.117;0.0;0.0;-0.0;0.0;-0.0;-0.0
204.232;0.0;0.0;-0.0;0.0;-0.0;-0.0
204.339;0.0;0.0;-0.0;0.0;-0.0;-0.0
204.454;0.0;0.0;-0.0;0.0;-0.0;-0.0
204.568;0.0;0.0;-0.0;0.0;-0.0;-0.0
204.682;0.0;0.0;-0.0;0.0;-0.0;-0.0
204.789;0.0;0.0;-0.0;0.0;-0.0;-0.0
204.9;0.0;0.0;-0.0;0.0;-0.0;-0.0
205.012;0.0;-0.0725;-0.0;0.0;-0.0;-0.0
205.12;0.0;-0.56625;-0.0;0.0;-0.0;-0.0
205.235;0.0;-1.32625;-0.0;0.0;-0.0;-0.0
205.339;0.0;-1.8375;-0.0;0.0;-0.0;-0.0
205.456;0.0;-2.3425;-0.0;0.0;-0.0;-0.0
205.564;0.0;-2.85375;-0.0;0.0;-0.0;-0.0
205.673;0.0;-3.3625;-0.0;0.0;-0.0;-0.0
205.788;0.0;-3.8675;-0.0;0.0;-0.0;-0.0
205.893;0.0;-4.6325;-0.0;0.0;-0.0;-0.0
205.994;0.0;-5.0;-0.0;0.0;-0.0;-0.0
206.104;0.0;-5.0;-0.0;0.0;-0.0;-0.0
206.212;0.0;-5.0;-0.0;0.0;-0.0;-0.0
206.328;0.0;-5.0;-0.0;0.0;-0.0;-0.0
206.432;0.0;-5.0;-0.0;0.0;-0.0;-0.0
206.544;0.0;-5.0;-0.0;0.0;-0.0;-0.0
206.651;0.0;-5.0;-0.0;0.0;-0.0;-0.0
206.752;0.0;-5.0;-0.0;0.0;-0.0;-0.0
206.855;0.0;-5.0;-0.0;0.0;-0.0;-0.0
206.956;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.056;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.156;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.257;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.357;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.457;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.56;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.661;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.761;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.864;0.0;-5.0;-0.0;0.0;-0.0;-0.0
207.968;0.0;-5.0;-0.0;0.0;-0.0;-0.0
208.076;0.0;-5.0;-0.0;0.0;-0.0;-0.0
208.19;0.0;-4.7825;-0.0;0.0;-0.0;-0.0
208.297;0.0;-4.27125;-0.0;0.0;-0.0;-0.0
208.407;0.0;-3.7675;-0.0;0.0;-0.0;-0.0
208.508;0.0;-3.25875;-0.0;0.0;-0.0;-0.0
208.615;0.0;-2.75;-0.0;0.0;-0.0;-0.0
208.715;0.0;-2.24625;-0.0;0.0;-0.0;-0.0
208.819;0.0;-1.73875;-0.0;0.0;-0.0;-0.0
208.92;0.0;-0.9825;-0.0;0.0;-0.0;-0.0
209.02;0.0;-0.475;-0.0;0.0;-0.0;-0.0
209.121;0.0;-0.025;-0.0;0.0;-0.0;-0.0
209.222;0.0;0.0;-0.0;0.0;-0.0;-0.0
209.326;0.0;0.0;-0.0;0.0;-0.0;-0.0
209.432;0.0;0.0;-0.0;0.0;-0.0;-0.0
209.535;0.0;0.0;-0.0;0.0;-0.0;-0.0
209.635;0.0;0.0;-0.0;0.0;-0.0;-0.0
209.746;0.0;0.0;-0.0;0.0;-0.0;-0.0
209.855;0.0;0.0;-0.0;0.0;-0.0;-0.0
209.956;0.0;0.0;-0.0;0.0;-0.0;-0.0
210.056;0.0;0.0;-0.0;0.0;-0.0;-0.0
210.169;0.0;0.0;-0.0;0.0;-0.0;-0.0
210.288;0.0;0.0;-0.0;0.0;-0.0;-0.0
210.397;0.0;0.0;-0.0;0.0;-0.0;-0.0
210.51;0.0;0.0;-0.0;0.0;-0.0;-0.0
210.619;0.0;0.0;-0.0;0.0;-0.0;-0.0
210.72;0.0;0.0;-0.0;0.0;-0.0;-0.0
210.837;0.0;0.0;-0.0;0.0;-0.0;-0.0
210.939;0.0;0.0;-0.0;0.0;-0.0;-0.0
211.043;0.0;0.0;-0.0;0.0;-0.0;-0.0
211.151;0.0;0.0;-0.0;0.0;-0.0;-0.0
211.264;0.0;0.0;-0.0;0.0;-0.0;-0.0
211.373;0.0;0.0;-0.0;0.0;-0.0;-0.0
211.489;-0.0;0.06625;0.0;0.0;-0.0;-0.0
211.589;-0.0;0.805;0.0;0.0;-0.0;-0.0
211.696;-0.0;1.05875;0.0;0.0;-0.0;-0.0
211.807;-0.0;1.8225;0.0;0.0;-0.0;-0.0
211.922;-0.0;2.325;0.0;0.0;-0.0;-0.0
212.027;-0.0;2.8375;0.0;0.0;-0.0;-0.0
212.139;-0.0;3.3525;0.0;0.0;-0.0;-0.0
212.245;-0.0;3.86625;0.0;0.0;-0.0;-0.0
212.359;-0.0;4.63875;0.0;0.0;-0.0;-0.0
212.466;-0.0;5.1475;0.0;0.0;-0.0;-0.0
212.582;-0.0;5.66;0.0;0.0;-0.0;-0.0
212.696;-0.0;6.1725;0.0;0.0;-0.0;-0.0
212.808;-0.0;6.68125;0.0;0.0;-0.0;-0.0
212.92;-0.0;7.45;0.0;0.0;-0.0;-0.0
213.024;-0.0;7.9575;0.0;0.0;-0.0;-0.0
213.141;-0.0;8.47125;0.0;0.0;-0.0;-0.0
213.253;-0.0;8.985;0.0;0.0;-0.0;-0.0
213.361;-0.0;9.75;0.0;0.0;-0.0;-0.0
213.478;-0.0;10.2625;0.0;0.0;-0.0;-0.0
213.585;-0.0;10.77375;0.0;0.0;-0.0;-0.0
213.695;-0.0;11.285;0.0;0.0;-0.0;-0.0
213.803;-0.0;12.0525;0.0;0.0;-0.0;-0.0
213.92;-0.0;12.55875;0.0;0.0;-0.0;-0.0
214.03;-0.0;13.07;0.0;0.0;-0.0;-0.0
214.143;-0.0;13.5825;0.0;0.0;-0.0;-0.0
214.251;-0.0;14.0875;0.0;0.0;-0.0;-0.0
214.362;-0.0;14.6;0.0;0.0;-0.0;-0.0
214.475;-0.0;15.3625;0.0;0.0;-0.0;-0.0
214.582;-0.0;15.87375;0.0;0.0;-0.0;-0.0
214.684;-0.0;16.64125;0.0;0.0;-0.0;-0.0
214.792;-0.0;16.8925;0.0;0.0;-0.0;-0.0
214.898;-0.0;17.40375;0.0;0.0;-0.0;-0.0
215.015;-0.0;18.1675;0.0;0.0;-0.0;-0.0
215.121;-0.0;18.67875;0.0;0.0;-0.0;-0.0
215.236;-0.0;19.19125;0.0;0.0;-0.0;-0.0
215.346;-0.0;19.69875;0.0;0.0;-0.0;-0.0
215.457;-0.0;20.21;0.0;0.0;-0.0;-0.0
215.568;-0.0;20.9825;0.0;0.0;-0.0;-0.0
215.67;-0.0;21.49375;0.0;0.0;-0.0;-0.0
215.771;-0.0;22.01;0.0;0.0;-0.0;-0.0
215.888;-0.0;22.5275;0.0;0.0;-0.0;-0.0
215.994;-0.0;23.03875;0.0;0.0;-0.0;-0.0
216.11;-0.0;23.555;0.0;0.0;-0.0;-0.0
216.22;-0.0;24.0725;0.0;0.0;-0.0;-0.0
216.33;-0.0;24.8425;0.0;0.0;-0.0;-0.0
216.439;-0.0;25.36;0.0;0.0;-0.0;-0.0
216.549;-0.0;25.8775;0.0;0.0;-0.0;-0.0
216.662;-0.0;26.395;0.0;0.0;-0.0;-0.0
216.771;-0.0;26.91125;0.0;0.0;-0.0;-0.0
216.879;-0.0;27.67875;0.0;0.0;-0.0;-0.0
216.99;-0.0;28.18625;0.0;0.0;-0.0;-0.0
217.09;-0.0;28.9425;0.0;0.0;-0.0;-0.0
217.201;-0.0;29.19625;0.0;0.0;-0.0;-0.0
217.307;-0.0;29.70625;0.0;0.0;-0.0;-0.0
217.417;-0.0;29.977374299506664;0.0024944479950731;0.004766139435612646;-0.0;-0.0
217.526;-0.0;29.368488076758233;0.06884567708997084;0.13311974566237503;-0.0;-0.0
217.632;-0.0;28.654140361250835;0.1447720551971954;0.28392910852962366;-0.0;-0.0
217.738;-0.0;27.94918277659047;0.21766175269576388;0.43299567365669706;-0.0;-0.0
217.849;-0.0;27.236253157595613;0.28930609008274377;0.5839922420252466;-0.0;-0.0
