Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll
0.0;-0.0;-0.0;0.0;0.0;-0.0;-0.0
0.016;-0.0;-0.0;0.0;0.0;-0.0;0.0
0.083;-0.0;-0.0;0.0;-0.0;-0.0;0.0
0.18;-0.0;-0.0;0.0;-0.0;-0.0;0.0
0.21;-0.0;-0.1;0.0;-0.0;-0.0;0.0
0.313;-0.0;0.0;0.1;-0.0;-0.0;0.0
0.444;-0.0;0.0;0.1;-0.0;-0.0;0.0
0.5;-0.0;0.0;0.1;-0.0;-0.0;0.0
0.591;-0.0;0.0;0.1;-0.0;-0.0;0.0
0.65;-0.0;0.0;0.1;-0.0;-0.0;0.0
0.68;-0.0;0.0;0.0;-0.0;-0.0;-0.0
0.81;-0.0;0.0;0.0;-0.0;-0.0;-0.0
0.88;-0.0;0.0;0.0;-0.0;-0.0;-0.0
0.977;-0.0;0.0;0.0;-0.0;-0.0;-0.0
1.053;-0.0;0.0;0.0;-0.0;-0.0;-0.0
1.106;-0.0;0.0;0.0;-0.0;-0.0;-0.0
1.172;-0.0;0.0;0.0;-0.0;-0.0;-0.0
1.205;-0.0;-0.0;0.0;-0.0;-0.0;0.0
1.308;-0.0;-0.0;0.0;-0.0;-0.0;0.0
1.372;-0.0;-0.0;-0.0;-0.0;-0.0;0.0
1.442;-0.0;-0.1;0.0;-0.0;-0.0;0.0
1.507;-0.0;-0.1;0.0;-0.0;-0.0;0.0
1.581;-0.0;-0.1;-0.0;-0.0;-0.0;0.0
1.636;-0.0;-0.1;-0.0;-0.0;-0.0;0.0
1.711;-0.0;-0.1;-0.0;-0.0;-0.0;0.0
1.759;-0.0;-0.1;-0.0;-0.0;-0.0;0.0
1.808;-0.0;-0.1;-0.0;-0.0;-0.0;0.0
1.904;-0.0;-0.1;-0.0;-0.0;-0.0;0.0
1.941;-0.0;-0.0;0.0;-0.0;-0.0;0.0
1.972;-0.1;-0.0;0.0;-0.0;-0.0;-0.0
2.078;-0.1;-0.0;0.0;-0.0;-0.0;-0.0
2.171;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.243;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.306;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.373;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.41;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.476;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.541;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.568;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.668;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.745;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.772;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.807;-0.0;-0.0;0.0;-0.0;-0.0;0.0
2.993;-0.1;-0.0;0.0;-0.0;-0.1;0.1
3.032;0.0;-0.0;0.1;-0.1;-0.0;-0.0
3.167;0.0;-0.0;0.1;-0.0;0.0;-0.0
3.301;-0.0;-0.0;0.1;-0.0;0.0;-0.0
3.375;0.0;-0.0;0.0;-0.0;0.0;-0.0
3.397;0.0;-0.0;0.0;-0.0;0.0;-0.0
3.474;-0.0;-0.0;0.0;-0.0;0.0;-0.0
3.532;-0.0;-0.0;0.0;-0.0;0.0;-0.0
3.596;-0.0;-0.0;0.0;-0.0;-0.0;0.0
3.663;-0.0;-0.0;0.0;-0.0;-0.0;0.0
3.777;-0.0;-0.0;0.0;-0.0;-0.0;0.0
3.829;-0.1;-0.0;0.0;-0.0;-0.0;0.0
3.866;-0.1;-0.0;0.0;-0.0;-0.0;0.0
3.933;-0.1;-0.0;0.0;-0.0;-0.0;0.0
3.995;-0.1;-0.0;0.0;-0.0;-0.0;0.0
4.065;-0.0;-0.0;0.0;-0.0;-0.0;0.0
4.131;-0.1;-0.0;0.0;-0.0;-0.0;0.0
4.233;-0.0;-0.0;0.1;-0.0;-0.0;0.0
4.262;-0.0;-0.0;0.1;-0.0;-0.0;0.0
4.332;-0.0;-0.0;0.1;-0.0;0.0;0.0
4.408;-0.0;-0.0;0.1;-0.0;0.0;0.0
4.493;-0.1;-0.0;0.0;-0.0;-0.0;0.0
4.561;-0.0;-0.0;0.0;-0.0;-0.0;-0.0
4.628;-0.1;0.0;0.1;-0.0;-0.0;0.0
4.725;-0.1;0.0;0.1;-0.0;-0.0;0.0
4.828;-0.1;0.0;0.1;-0.0;-0.0;0.0
4.894;-0.1;0.0;0.1;-0.0;-0.0;0.0
4.96;-0.1;0.1;0.1;-0.0;-0.0;0.0
5.063;-0.1;0.1;0.1;-0.0;-0.0;0.0
5.142;-0.1;0.0;0.1;-0.0;-0.1;0.1
5.192;-0.1;0.0;0.1;-0.0;-0.1;0.1
5.296;-0.1;0.0;0.1;-0.0;-0.1;0.1
5.356;-0.1;0.0;0.1;-0.0;-0.0;0.1
5.397;-0.1;0.0;0.1;-0.0;-0.0;0.1
5.458;-0.1;0.0;0.1;-0.0;-0.0;0.1
5.49;-0.1;0.0;0.1;-0.0;-0.0;0.1
5.547;-0.1;0.0;0.0;0.0;-0.0;0.0
5.593;-0.1;0.0;0.0;0.0;-0.0;0.0
5.723;-0.0;0.0;0.0;0.0;-0.0;0.0
5.812;-0.0;0.0;0.0;0.0;-0.0;0.0
5.89;-0.0;-0.0;0.0;0.0;-0.0;0.0
5.921;-0.1;-0.0;0.0;0.0;-0.0;0.0
5.959;-0.1;-0.0;0.0;0.0;-0.0;0.0
5.995;-0.1;-0.0;0.0;0.0;-0.0;0.0
6.088;-0.1;-0.0;0.0;0.0;-0.0;0.0
6.187;-0.1;-0.0;0.0;0.0;-0.0;0.0
6.286;-0.1;-0.0;0.0;0.0;-0.0;0.0
6.489;-0.1;-0.0;0.0;0.0;-0.0;0.0
6.721;-0.0;-0.0;0.0;-0.0;-0.0;0.0
6.784;-0.0;-0.0;0.0;-0.0;-0.0;0.0
6.849;-0.0;-0.0;0.0;-0.0;-0.0;0.0
6.951;-0.0;-0.0;0.1;0.0;-0.0;0.0
7.017;-0.0;-0.0;0.1;0.0;0.0;0.0
7.048;-0.0;0.0;0.1;-0.0;0.0;0.0
7.119;-0.0;-0.0;0.1;-0.0;-0.0;0.0
7.215;-0.0;-0.0;0.1;-0.0;-0.0;0.0
7.383;-0.0;-0.0;0.0;-0.0;-0.0;0.0
7.48;-0.1;-0.0;0.0;-0.0;-0.0;0.0
7.551;-0.0;-0.0;0.0;-0.0;-0.0;0.0
7.59;-0.0;-0.0;0.0;-0.0;-0.0;0.0
7.647;-0.0;0.0;0.1;-0.0;0.0;0.0
7.748;-0.0;0.0;0.1;-0.0;-0.0;0.0
7.847;-0.0;0.0;0.1;-0.0;-0.0;0.0
7.92;-0.0;0.0;0.1;-0.0;-0.0;0.0
7.946;-0.0;0.0;0.1;-0.0;-0.0;0.0
8.018;-0.0;-0.0;0.0;0.0;-0.0;-0.0
8.143;-0.0;-0.0;0.0;0.0;-0.0;0.0
8.213;-0.0;-0.0;0.0;0.0;-0.0;0.0
8.283;-0.0;-0.0;0.0;-0.0;-0.0;0.0
8.345;-0.0;-0.0;0.0;0.0;-0.0;0.0
8.39;-0.0;-0.0;0.0;0.0;-0.0;0.0
8.449;-0.0;-0.1;0.0;-0.0;0.0;-0.0
8.511;-0.0;-0.0;0.0;0.0;-0.0;0.0
8.61;-0.0;-0.0;0.0;0.0;-0.0;0.0
8.673;-0.0;-0.0;0.0;0.0;-0.0;0.0
8.706;-0.0;-0.0;0.0;0.0;-0.0;0.0
8.788;-0.1;-0.0;0.1;-0.0;-0.0;0.0
8.872;-0.0;-0.0;0.1;-0.0;-0.0;0.0
8.954;-0.1;-0.0;0.1;-0.0;-0.0;0.0
8.983;-0.1;-0.0;0.1;-0.0;-0.0;0.0
9.046;-0.1;-0.0;0.1;-0.0;-0.0;0.0
9.075;-0.0;-0.0;0.1;-0.0;-0.0;0.0
9.137;-0.0;-0.0;0.1;-0.0;-0.0;0.0
9.248;-0.0;-0.0;0.1;-0.0;-0.0;0.0
9.305;-0.1;0.0;0.1;0.0;-0.0;0.0
9.34;-0.1;0.0;0.1;0.0;-0.0;0.0
9.438;-0.1;0.0;0.1;0.0;-0.0;0.0
9.537;-0.1;0.0;0.1;0.0;-0.0;0.0
9.617;-0.1;0.0;0.1;0.0;-0.0;0.0
9.679;-0.1;0.0;0.1;-0.0;-0.0;0.0
9.705;-0.1;0.0;0.1;-0.0;-0.0;0.0
9.743;-0.1;0.0;0.1;-0.0;-0.0;0.0
9.771;-0.1;0.0;0.1;-0.0;-0.0;0.0
9.903;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.007;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.068;-0.0;-0.0;0.1;0.0;-0.0;-0.0
10.102;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.219;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.268;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.336;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.367;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.411;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.438;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.602;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.661;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.705;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.763;-0.0;-0.0;0.1;0.0;-0.0;0.0
10.834;-0.1;-0.0;0.1;0.0;-0.1;0.0
10.966;-0.1;-0.0;0.1;0.0;-0.0;0.0
11.03;-0.1;-0.0;0.1;0.0;-0.0;0.0
11.145;-0.1;-0.0;0.0;0.0;-0.0;0.0
11.213;-0.0;-0.0;0.0;0.0;-0.0;0.0
11.297;-0.1;-0.0;0.1;-0.0;-0.0;0.1
11.431;-0.1;-0.0;0.1;-0.0;-0.0;0.1
11.463;-0.1;-0.0;0.0;-0.0;-0.0;0.0
11.494;-0.1;-0.1;0.0;-0.0;-0.0;0.0
11.527;-0.1;-0.1;0.0;-0.0;-0.0;0.0
11.636;-0.1;-0.1;0.0;-0.0;-0.0;0.0
11.729;-0.1;-0.1;0.0;-0.0;-0.0;0.0
11.76;-0.1;-0.0;0.0;-0.0;-0.1;0.1
11.86;-0.0;-0.1;0.0;-0.0;-0.0;0.0
11.945;-0.0;-0.1;-0.0;-0.0;-0.0;0.0
11.964;-0.0;-0.1;0.0;-0.0;-0.0;0.0
12.125;-0.0;-0.1;0.0;-0.0;-0.0;0.0
12.19;-0.0;-0.1;0.0;-0.0;-0.0;0.0
12.267;-0.0;-0.0;0.0;0.0;-0.1;0.0
12.374;-0.0;-0.0;0.0;0.0;-0.1;0.0
12.433;-0.0;-0.0;0.0;0.0;-0.1;0.0
12.494;-0.0;-0.0;0.0;0.0;-0.1;0.0
12.558;-0.0;-0.0;0.0;0.0;-0.1;0.0
12.59;-0.0;-0.0;0.0;0.0;-0.1;0.0
12.692;-0.0;-0.0;0.0;0.0;-0.1;0.0
12.723;-0.0;-0.0;-0.0;0.0;-0.0;0.1
12.794;-0.0;-0.0;0.0;0.0;-0.0;0.1
12.889;-0.0;-0.2;-0.0;-0.0;-0.0;0.1
12.987;-0.1;-0.6;-0.0;-0.0;-0.1;0.0
13.089;-0.0;-1.2;-0.0;-0.0;-0.0;0.0
13.23;-0.0;-2.0;0.0;-0.0;-0.0;0.0
13.317;-0.1;-2.5;-0.0;-0.1;0.0;-0.0
13.385;-0.1;-2.8;-0.1;-0.1;0.0;-0.0
13.42;-0.1;-2.9;-0.1;-0.0;0.0;-0.0
13.486;-0.2;-3.3;-0.0;-0.0;-0.0;0.0
13.553;-0.2;-3.5;-0.1;-0.1;-0.0;0.0
13.655;-0.2;-3.9;-0.0;-0.1;0.0;-0.0
13.896;-0.1;-4.7;-0.0;-0.1;-0.0;0.0
14.067;-0.1;-4.9;-0.0;-0.0;-0.0;0.0
14.152;-0.1;-4.9;-0.0;-0.0;-0.0;0.1
14.219;-0.1;-4.9;-0.0;-0.0;-0.0;0.1
14.251;-0.1;-4.9;-0.0;-0.0;-0.0;0.1
14.316;-0.1;-4.9;-0.0;-0.0;-0.0;0.1
14.384;-0.1;-4.9;-0.0;-0.0;-0.0;0.1
14.416;-0.1;-4.9;-0.0;-0.0;-0.0;0.0
14.547;-0.1;-4.9;-0.0;-0.0;-0.1;0.0
14.582;-0.1;-5.0;-0.0;-0.0;-0.1;0.0
14.679;-0.1;-4.9;0.0;-0.0;-0.1;0.0
14.714;-0.1;-4.9;0.0;-0.0;-0.1;0.0
14.777;-0.1;-4.9;0.0;-0.0;-0.1;0.0
14.88;-0.1;-5.0;-0.1;-0.0;-0.0;0.0
14.944;-0.1;-5.0;-0.1;-0.0;-0.0;0.0
15.015;-0.1;-5.0;-0.1;-0.0;-0.0;0.0
15.083;-0.1;-5.0;-0.1;-0.0;-0.0;0.0
15.11;-0.1;-5.0;-0.1;-0.0;-0.0;0.0
15.18;-0.1;-5.0;-0.1;-0.0;-0.0;0.0
15.209;-0.1;-5.0;-0.1;-0.0;-0.0;0.0
15.345;-0.1;-5.0;-0.0;-0.1;-0.0;0.0
15.412;-0.1;-4.9;-0.0;-0.1;-0.0;0.0
15.511;-0.1;-4.9;-0.0;-0.1;-0.0;0.0
15.582;-0.1;-4.9;0.0;-0.1;-0.0;0.0
15.644;-0.1;-5.0;-0.0;-0.1;-0.0;-0.0
15.742;-0.1;-5.0;-0.0;-0.1;-0.0;-0.0
15.775;-0.1;-5.0;-0.0;-0.1;-0.0;-0.0
15.842;-0.1;-5.0;-0.0;-0.1;-0.0;-0.0
15.911;-0.1;-4.9;0.0;-0.1;-0.0;0.0
15.973;-0.1;-4.9;0.0;-0.1;-0.0;0.0
16.081;-0.1;-4.9;0.0;-0.1;-0.0;0.0
16.109;-0.1;-4.9;0.0;-0.1;-0.0;0.0
16.172;-0.2;-5.0;0.0;-0.1;-0.1;0.1
16.208;-0.2;-5.0;0.0;-0.1;-0.1;0.1
16.271;-0.1;-4.6;0.1;-0.0;-0.0;0.0
16.476;-0.2;-3.7;0.0;-0.0;0.0;0.1
16.605;-0.1;-3.2;0.1;0.0;0.0;0.1
16.729;-0.1;-2.7;0.0;0.1;-0.0;0.1
16.774;-0.1;-2.4;0.1;0.1;-0.0;0.1
16.906;0.0;-1.5;0.1;0.0;-0.0;0.0
17.071;-0.0;-0.6;0.1;-0.0;-0.0;0.0
17.202;-0.0;-0.2;-0.0;0.0;-0.0;0.1
17.244;-0.0;-0.2;-0.0;0.0;-0.0;0.1
17.401;-0.0;-0.2;-0.0;0.0;-0.0;0.0
17.467;-0.0;-0.1;0.0;0.0;-0.0;0.1
17.532;-0.0;-0.1;0.0;0.0;-0.0;0.1
17.568;-0.0;-0.1;0.0;0.0;-0.0;0.1
17.669;-0.0;-0.1;0.0;0.0;-0.0;0.0
17.735;-0.0;-0.0;0.0;0.0;-0.0;0.0
17.765;-0.0;-0.0;0.1;0.0;-0.0;0.0
17.834;-0.0;-0.0;0.1;0.0;-0.0;0.0
17.903;-0.0;-0.0;0.1;0.0;-0.0;0.0
17.965;-0.0;-0.0;0.1;0.0;-0.0;0.0
18.067;-0.0;0.0;0.1;0.0;-0.0;0.1
18.167;-0.0;0.0;0.1;0.0;-0.0;0.1
18.195;-0.0;0.0;0.1;0.0;-0.0;0.1
18.23;-0.0;-0.0;0.1;0.0;-0.0;0.1
18.364;-0.0;-0.0;0.1;0.0;-0.0;0.0
18.432;-0.0;-0.1;0.0;0.0;-0.0;0.0
18.494;0.0;-0.1;0.0;-0.0;0.0;0.0
18.603;0.0;-0.1;0.0;-0.0;0.0;0.0
18.629;0.0;-0.1;0.0;-0.0;0.0;0.0
18.663;-0.0;-0.1;0.1;-0.0;0.0;0.1
18.802;-0.0;-0.1;0.1;-0.0;0.0;0.0
18.831;-0.0;-0.1;0.1;-0.0;0.0;0.1
18.961;-0.0;-0.1;0.1;0.0;0.0;0.1
19.03;-0.0;-0.1;0.1;0.0;0.0;0.1
19.061;-0.0;-0.1;0.1;0.0;0.0;0.1
19.125;-0.0;-0.1;0.1;0.0;0.0;0.1
19.198;-0.0;-0.1;0.1;0.0;0.0;0.1
19.294;-0.0;-0.1;0.1;0.0;0.0;0.1
19.329;-0.0;-0.1;0.1;0.0;0.0;0.1
19.392;-0.0;-0.1;0.1;0.0;0.0;0.1
19.464;-0.0;-0.1;0.1;0.0;0.0;0.1
19.559;-0.0;0.2;0.1;0.0;0.0;0.0
19.656;-0.0;0.7;0.1;0.0;0.1;0.1
19.767;-0.0;1.2;0.1;0.1;-0.1;0.0
19.892;0.0;1.8;0.0;0.1;-0.0;0.0
20.023;0.0;2.7;0.1;0.1;-0.0;0.1
20.158;0.0;3.3;0.1;0.1;0.0;-0.0
20.254;0.0;3.9;0.1;0.0;0.0;0.0
20.363;-0.0;4.3;0.1;0.1;0.0;0.0
20.518;-0.0;5.2;0.1;0.1;0.0;0.0
20.629;0.0;5.6;0.2;0.1;-0.0;0.0
20.752;0.1;6.4;0.1;0.0;0.0;0.0
20.851;0.1;7.0;0.0;0.0;-0.0;0.0
20.951;0.0;7.3;0.0;0.0;-0.0;0.1
21.021;0.0;7.7;0.0;0.0;-0.0;0.0
21.118;0.0;8.1;0.1;0.0;-0.1;0.0
21.149;0.0;8.2;0.1;0.0;-0.0;0.0
21.414;-0.1;9.6;0.0;0.1;-0.1;0.1
21.554;-0.0;10.4;0.0;0.0;-0.0;0.1
21.68;-0.0;11.1;0.1;0.0;-0.0;0.0
21.782;0.0;11.6;0.1;0.0;-0.0;0.0
21.92;0.1;12.1;-0.0;0.0;0.0;0.0
22.046;0.0;12.9;0.1;0.1;-0.0;0.0
22.148;-0.0;13.3;0.1;0.0;-0.1;0.1
22.245;0.1;13.7;0.0;0.1;-0.0;0.0
22.418;0.1;14.6;0.0;0.0;-0.0;0.1
22.476;0.1;15.0;0.0;0.0;-0.1;-0.0
