Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
108.877;-0.0;0.0;0.0;0.0;-0.0;0.0
108.988;-0.0;0.0;0.0;0.0;-0.0;0.0
109.104;-0.0;0.0;0.0;0.0;-0.0;0.0
109.211;-0.0;0.0;0.0;0.0;-0.0;0.0
109.313;-0.0;0.0;0.0;0.0;-0.0;0.0
109.44;-0.0;0.0;0.0;0.0;-0.0;0.0
109.546;-0.0;0.0;0.0;0.0;-0.0;0.0
109.666;-0.0;0.0;0.0;0.0;-0.0;0.0
109.768;-0.0;0.0;0.0;0.0;-0.0;0.0
109.879;-0.0;0.0;0.0;0.0;-0.0;0.0
109.991;-0.0;0.0;0.0;0.0;-0.0;0.0
110.101;-0.0;0.0;0.0;0.0;-0.0;0.0
110.213;-0.0;0.0;0.0;0.0;-0.0;0.0
110.324;-0.0;0.0;0.0;0.0;-0.0;0.0
110.438;-0.0;0.0;0.0;0.0;-0.0;0.0
110.543;-0.0;0.0;0.0;0.0;-0.0;0.0
110.654;-0.0;0.0;0.0;0.0;-0.0;0.0
110.766;-0.0;0.0;0.0;0.0;-0.0;0.0
110.868;-0.0;0.0;0.0;0.0;-0.0;0.0
110.976;-0.0;0.0;0.0;0.0;-0.0;0.0
111.076;-0.0;0.0;0.0;0.0;-0.0;0.0
111.176;-0.0;0.0;0.0;0.0;-0.0;0.0
111.277;-0.0;0.0;0.0;0.0;-0.0;0.0
111.378;-0.0;0.0;0.0;0.0;-0.0;0.0
111.478;-0.0;0.0;0.0;0.0;-0.0;0.0
111.581;-0.0;0.0;0.0;0.0;-0.0;0.0
111.69;-0.0;0.0;0.0;0.0;-0.0;0.0
111.8;-0.0;0.0;0.0;0.0;-0.0;0.0
111.912;-0.0;0.0;0.0;0.0;-0.0;0.0
112.022;-0.0;0.0;0.0;0.0;-0.0;0.0
112.131;-0.0;0.0;0.0;0.0;-0.0;0.0
112.238;-0.0;0.0;0.0;0.0;-0.0;0.0
112.343;-0.0;0.0;0.0;0.0;-0.0;0.0
112.457;-0.0;0.0;0.0;0.0;-0.0;0.0
112.562;-0.0;0.0;0.0;0.0;-0.0;0.0
112.676;-0.0;0.0;0.0;0.0;-0.0;0.0
112.779;-0.0;0.0;0.0;0.0;-0.0;0.0
112.88;-0.0;0.0;0.0;0.0;-0.0;0.0
112.986;-0.0;0.11875;0.0;0.0;-0.0;0.0
113.09;-0.0;0.62875;0.0;0.0;-0.0;0.0
113.194;-0.0;1.13375;0.0;0.0;-0.0;0.0
113.306;-0.0;1.645;0.0;0.0;-0.0;0.0
113.415;-0.0;2.155;0.0;0.0;-0.0;0.0
113.526;-0.0;2.915;0.0;0.0;-0.0;0.0
113.633;-0.0;3.425;0.0;0.0;-0.0;0.0
113.744;-0.0;3.935;0.0;0.0;-0.0;0.0
113.869;-0.0;4.695;0.0;0.0;-0.0;0.0
113.976;-0.0;5.0;0.0;0.0;-0.0;0.0
114.078;-0.0;5.0;0.0;0.0;-0.0;0.0
114.184;-0.0;5.0;0.0;0.0;-0.0;0.0
114.29;-0.0;5.0;0.0;0.0;-0.0;0.0
114.402;-0.0;5.0;0.0;0.0;-0.0;0.0
114.503;-0.0;5.0;0.0;0.0;-0.0;0.0
114.608;-0.0;5.0;0.0;0.0;-0.0;0.0
114.721;-0.0;5.0;0.0;0.0;-0.0;0.0
114.824;-0.0;5.0;0.0;0.0;-0.0;0.0
114.936;-0.0;5.0;0.0;0.0;-0.0;0.0
115.046;-0.0;5.0;0.0;0.0;-0.0;0.0
115.148;-0.0;5.0;0.0;0.0;-0.0;0.0
115.268;-0.0;5.0;0.0;0.0;-0.0;0.0
115.378;-0.0;5.0;0.0;0.0;-0.0;0.0
115.487;-0.0;5.0;0.0;0.0;-0.0;0.0
115.601;-0.0;5.0;0.0;0.0;-0.0;0.0
115.714;-0.0;5.0;0.0;0.0;-0.0;0.0
115.814;-0.0;5.0;0.0;0.0;-0.0;0.0
115.917;-0.0;5.0;0.0;0.0;-0.0;0.0
116.018;-0.0;5.0;0.0;0.0;-0.0;0.0
116.122;-0.0;4.97625;0.0;0.0;-0.0;0.0
116.223;-0.0;4.5275;0.0;0.0;-0.0;0.0
116.323;-0.0;4.0175;0.0;0.0;-0.0;0.0
116.424;-0.0;3.515;0.0;0.0;-0.0;0.0
116.525;-0.0;3.00625;0.0;0.0;-0.0;0.0
116.625;-0.0;2.4975;0.0;0.0;-0.0;0.0
116.728;-0.0;1.99375;0.0;0.0;-0.0;0.0
116.829;-0.0;1.48625;0.0;0.0;-0.0;0.0
116.942;-0.0;0.97875;0.0;0.0;-0.0;0.0
117.046;-0.0;0.47625;0.0;0.0;-0.0;0.0
117.147;-0.0;0.02625;0.0;0.0;-0.0;0.0
117.253;-0.0;0.0;0.0;0.0;-0.0;0.0
117.356;-0.0;0.0;0.0;0.0;-0.0;0.0
117.458;-0.0;0.0;0.0;0.0;-0.0;0.0
117.567;-0.0;0.0;0.0;0.0;-0.0;0.0
117.676;-0.0;0.0;0.0;0.0;-0.0;0.0
117.789;-0.0;0.0;0.0;0.0;-0.0;0.0
117.89;-0.0;0.0;0.0;0.0;-0.0;0.0
117.997;-0.0;0.0;0.0;0.0;-0.0;0.0
118.104;-0.0;0.0;0.0;0.0;-0.0;0.0
118.221;-0.0;0.0;0.0;0.0;-0.0;0.0
118.323;-0.0;0.0;0.0;0.0;-0.0;0.0
118.43;-0.0;0.0;0.0;0.0;-0.0;0.0
118.534;-0.0;0.0;0.0;0.0;-0.0;0.0
118.635;-0.0;0.0;0.0;0.0;-0.0;0.0
118.736;-0.0;0.0;0.0;0.0;-0.0;0.0
118.836;-0.0;0.0;0.0;0.0;-0.0;0.0
118.936;-0.0;0.0;0.0;0.0;-0.0;0.0
119.037;-0.0;0.0;0.0;0.0;-0.0;0.0
119.138;-0.0;0.0;0.0;0.0;-0.0;0.0
119.241;-0.0;0.0;0.0;0.0;-0.0;0.0
119.344;0.0;-0.12625;-0.0;0.0;-0.0;0.0
119.46;0.0;-0.63625;-0.0;0.0;-0.0;0.0
119.56;0.0;-1.39375;-0.0;0.0;-0.0;0.0
119.671;0.0;-1.64875;-0.0;0.0;-0.0;0.0
119.771;0.0;-2.41125;-0.0;0.0;-0.0;0.0
119.878;0.0;-2.6675;-0.0;0.0;-0.0;0.0
119.985;0.0;-3.43375;-0.0;0.0;-0.0;0.0
120.088;0.0;-3.9475;-0.0;0.0;-0.0;0.0
120.191;0.0;-4.4625;-0.0;0.0;-0.0;0.0
120.292;0.0;-4.9775;-0.0;0.0;-0.0;0.0
120.403;0.0;-5.49;-0.0;0.0;-0.0;0.0
120.511;0.0;-5.9975;-0.0;0.0;-0.0;0.0
120.617;0.0;-6.51125;-0.0;0.0;-0.0;0.0
120.73;0.0;-7.275;-0.0;0.0;-0.0;0.0
120.847;0.0;-7.785;-0.0;0.0;-0.0;0.0
120.964;0.0;-8.2925;-0.0;0.0;-0.0;0.0
121.079;0.0;-8.79625;-0.0;0.0;-0.0;0.0
121.195;0.0;-9.5575;-0.0;0.0;-0.0;0.0
121.305;0.0;-9.985;-0.0;0.0;-0.0;0.0
121.415;0.0;-10.0;-0.0;0.0;-0.0;0.0
121.521;0.0;-10.454062507560893;-0.017146260308128564;0.09570695578862672;-0.0;0.0
121.636;0.0;-11.170009071390862;-0.04602740448503786;0.2468602751935818;-0.0;0.0
121.751;0.0;-12.236864518547314;-0.09328122717012474;0.4726643734816099;-0.0;0.0
121.854;0.0;-12.948597569946038;-0.12763230123649025;0.6236860511865596;-0.0;0.0
121.954;0.0;-13.654151800172468;-0.16393383186140514;0.7737006591057732;-0.0;0.0
122.065;0.0;-14.370803735682212;-0.2031124158565845;0.9263876857175919;-0.0;0.0
122.174;0.0;-15.086437721863259;-0.24456885733661643;1.079175464031339;-0.0;0.0
122.295;0.0;-15.7941687588616;-0.2878752086447445;1.230591154482558;-0.0;0.0
122.403;0.0;-16.866763178932917;-0.3579145092201664;1.4606718975137478;-0.0;0.0
122.508;0.0;-17.56853681380833;-0.4066344642514483;1.611606889380263;-0.0;0.0
122.611;0.0;-18.277873436869903;-0.45822385248617925;1.7644924839186833;-0.0;0.0
122.721;0.0;-18.987895257202915;-0.5122385948787782;1.9178551367292194;-0.0;0.0
122.83;0.0;-19.686642373376912;-0.5677309678319171;2.06910736217825;-0.0;0.0
122.943;0.0;-20.392909020917656;-0.6261900169834276;2.2223179912260957;-0.0;0.0
123.048;0.0;-21.445272133452924;-0.7177490715007994;2.451231291262876;-0.0;0.0
123.152;0.0;-22.14896442050471;-0.7819687475748138;2.6047219874791705;-0.0;0.0
123.254;0.0;-22.851619965701385;-0.8485083330273592;2.75832739666016;-0.0;0.0
123.355;0.0;-23.54815599575687;-0.916865666382933;2.910934538286612;-0.0;0.0
123.455;0.0;-24.24704759202865;-0.9878691968797474;3.064400885968511;-0.0;0.0
123.555;0.0;-24.94490039465638;-1.061197228027717;3.217985477848213;-0.0;0.0
123.656;0.0;-25.63496820810214;-1.1361112108056148;3.370200455020086;-0.0;0.0
123.757;0.0;-26.330746263169488;-1.2140818888187082;3.524024505027038;-0.0;0.0
123.862;0.0;-27.025478204413453;-1.2943934477926629;3.6779709519065085;-0.0;0.0
123.963;0.0;-27.710769697057707;-1.3760367524775257;3.830175199138832;-0.0;0.0
124.064;0.0;-28.405090410152823;-1.46122712844857;3.9847426486720914;-0.0;0.0
124.165;0.0;-29.095005747231763;-1.5483581511062523;4.138689717637995;-0.0;0.0
124.265;0.0;-29.778857667614695;-1.637181390601941;4.29164186366698;-0.0;0.0
124.368;0.0;-30.468343795224257;-1.7292314669211426;4.446218744497401;-0.0;0.0
124.478;0.0;-31.156768292516254;-1.8236571453424275;4.60092657225826;-0.0;0.0
124.579;0.0;-32.188239397235364;-1.9698833169258816;4.833424665124238;-0.0;0.0
124.684;0.0;-32.53208193340224;-2.0199027663895763;4.911116339200043;-0.0;0.0
124.784;0.0;-33.2173025199583;-2.1214978115416603;5.066226163272854;-0.0;0.0
124.896;0.0;-34.23402448363723;-2.2769763347180656;5.297078719190244;-0.0;0.0
125.005;0.0;-34.9116182159648;-2.3837620890057396;5.451401975898001;-0.0;0.0
125.113;0.0;-35.57990378566771;-2.4915835736822096;5.603979297556687;-0.0;0.0
125.214;0.0;-36.255379216542806;-2.603109435048676;5.758579509840073;-0.0;0.0
125.335;0.0;-36.92649747382498;-2.716468080904952;5.912566116461887;-0.0;0.0
125.448;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.0;0.0
125.549;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.2462532609748288;-0.025654955749803886
125.666;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.4925065219496576;-0.05130991149960777
125.781;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.6771964676807792;-0.07055112831196067
125.895;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.8618864134119008;-0.08979234512431358
126.006;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
126.112;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
126.224;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
126.34;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
126.448;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
126.555;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
126.669;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
126.771;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
126.874;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
126.975;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
127.079;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
127.18;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
127.282;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
127.39;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
127.5;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
127.61;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
127.718;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
127.82;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
127.92;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
128.022;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
128.135;0.0;-37.05943203118938;-2.740567273894438;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
128.242;0.0;-36.61931404361266;-2.6947152618184327;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
128.351;0.0;-36.115789227317265;-2.642257451392495;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
128.467;0.0;-35.608534597567825;-2.5894110645930315;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
128.573;0.0;-34.84640938179231;-2.510011958935994;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
128.683;0.0;-34.34412783664826;-2.4576836739678978;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
128.793;0.0;-33.83687320689882;-2.4048372871684345;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
128.903;0.0;-33.32961857714938;-2.351990900368971;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.011;0.0;-32.56997990367657;-2.2728508456276173;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.112;0.0;-32.12737537379716;-2.2267397826359288;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.218;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.325;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.437;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.544;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.656;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.765;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.866;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
129.967;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.07;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.171;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.272;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.372;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.472;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.573;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.675;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.779;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.882;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
130.994;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
131.103;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
131.214;0.0;-32.10623976422426;-2.224537849852618;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
131.323;0.0;-32.32754202916397;-2.2475933813484623;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
131.427;0.0;-32.83603993006476;-2.3005692936057676;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
131.535;0.0;-33.33707820405746;-2.352768053116022;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
131.643;0.0;-33.84308956265556;-2.4054849144576433;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
131.744;0.0;-34.34910092125365;-2.458201775799265;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
131.849;0.0;-34.850139195246356;-2.5104005353095196;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
131.957;0.0;-35.354907282693105;-2.5629878711932994;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
132.069;0.0;-35.85967537013985;-2.6155752070770792;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
132.18;0.0;-36.35947037298121;-2.6676444411294917;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
132.289;0.0;-37.055702217735345;-2.7401786975209124;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
132.391;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
132.508;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
132.61;0.0;-37.07932436961093;-2.7426396812199068;5.9476857812927975;-0.9850130438993152;-0.10261982299921554
