Time_Sec;lateral;longitudinal;vertical;pitch;yaw;roll
0.0;0.0;-0.0;-0.0;0.0;0.0;-0.0
0.041;0.0;0.0;-0.0;0.0;0.0;-0.0
0.207;0.0;0.0;-0.0;0.0;0.0;-0.0
0.301;0.0;0.0;-0.0;0.0;0.0;-0.0
0.386;0.0;0.1;0.0;0.0;-0.0;-0.0
0.433;0.0;0.1;0.0;0.0;-0.0;-0.0
0.529;0.0;0.1;0.0;0.0;-0.0;-0.0
0.599;0.0;0.1;0.0;0.0;0.0;-0.0
0.674;0.0;0.1;0.0;0.0;-0.0;-0.0
0.736;0.0;0.1;0.0;0.0;-0.0;-0.0
0.799;0.0;0.1;0.0;0.0;-0.0;-0.0
0.863;0.0;0.1;0.0;0.0;-0.0;-0.0
0.941;0.0;0.1;0.0;0.0;-0.0;-0.0
0.979;0.0;0.1;0.0;0.0;-0.0;-0.0
0.999;0.0;0.1;0.0;0.0;-0.0;-0.0
1.062;-0.0;0.1;0.0;0.0;-0.0;-0.0
1.131;-0.0;0.1;0.0;0.0;-0.0;-0.0
1.261;-0.0;0.0;0.0;0.0;-0.0;-0.0
1.363;-0.0;0.0;-0.0;0.0;-0.0;0.0
1.394;-0.0;0.0;-0.0;-0.0;-0.0;0.0
1.53;-0.0;0.0;-0.0;-0.0;-0.0;0.0
1.594;-0.0;0.0;-0.0;-0.0;-0.0;-0.0
1.66;-0.0;-0.1;-0.1;-0.0;-0.0;0.0
1.743;-0.0;-0.1;-0.1;-0.0;-0.0;0.0
1.791;-0.0;-0.1;-0.1;-0.0;-0.0;0.0
1.859;0.0;-0.0;-0.0;-0.0;-0.0;-0.0
1.978;0.0;-0.0;-0.0;-0.0;-0.0;-0.0
2.026;0.0;-0.0;-0.0;-0.0;-0.0;-0.0
2.124;0.0;0.0;-0.0;0.0;-0.0;-0.0
2.192;0.0;0.0;-0.0;-0.0;-0.0;-0.0
2.292;0.0;0.0;-0.0;-0.0;-0.0;-0.0
2.361;0.0;0.0;-0.0;-0.0;-0.0;-0.0
2.395;0.0;0.1;0.0;-0.0;-0.0;-0.0
2.557;0.0;0.0;0.0;-0.0;-0.0;-0.0
2.623;0.0;0.0;0.0;-0.0;-0.0;-0.0
2.659;0.0;0.0;0.0;-0.0;-0.0;-0.0
2.755;0.0;0.0;0.0;-0.0;0.0;-0.0
2.79;0.0;0.0;0.0;-0.0;0.0;-0.0
2.922;0.0;0.0;0.0;-0.0;-0.0;-0.0
2.991;0.0;0.0;0.0;-0.0;-0.0;-0.0
3.087;0.0;0.0;0.0;-0.0;-0.0;-0.0
3.123;0.0;0.0;0.0;-0.0;-0.0;-0.0
3.186;0.0;0.0;0.0;0.0;-0.0;-0.0
3.262;0.0;0.0;0.0;0.0;0.0;-0.0
3.325;0.0;0.0;0.0;0.0;0.0;-0.0
3.356;0.0;0.0;0.0;-0.0;0.0;-0.0
3.388;0.0;0.0;0.0;-0.0;0.0;-0.0
3.485;0.0;0.0;0.0;-0.0;0.0;-0.0
3.586;0.0;0.0;0.0;-0.0;0.0;-0.0
3.649;0.0;0.0;0.0;-0.0;0.0;-0.0
3.759;0.0;0.1;0.0;-0.0;-0.0;-0.0
3.808;0.0;0.1;0.0;-0.0;-0.0;-0.0
3.914;0.0;0.1;0.0;-0.0;-0.0;-0.0
4.016;0.0;0.1;0.0;0.0;-0.0;-0.0
4.117;0.0;0.1;0.0;0.0;-0.0;-0.0
4.181;0.0;0.1;0.0;0.0;-0.0;-0.0
4.216;0.0;0.1;0.0;0.0;-0.0;-0.0
4.282;-0.0;0.1;0.0;0.0;-0.0;-0.0
4.395;-0.0;0.1;0.0;0.0;-0.0;-0.0
4.446;0.0;0.1;0.0;0.0;-0.0;-0.0
4.515;0.0;0.1;0.0;0.0;-0.0;-0.0
4.577;0.0;0.1;0.0;0.0;-0.0;-0.0
4.662;0.0;0.1;0.0;0.0;-0.0;-0.0
4.75;0.0;0.1;0.0;0.0;-0.0;-0.0
4.813;0.0;0.1;0.0;0.0;-0.0;-0.0
4.852;0.0;0.1;0.0;0.0;-0.0;-0.0
4.881;0.0;0.1;0.0;0.0;-0.0;-0.0
4.912;0.0;0.1;0.0;0.0;-0.0;-0.0
4.947;0.0;0.1;0.0;0.0;-0.0;-0.0
5.03;0.0;0.1;0.0;0.0;-0.0;-0.0
5.112;0.0;0.0;0.0;0.0;-0.0;-0.0
5.246;0.0;0.0;0.0;0.0;-0.0;-0.0
5.278;0.0;0.0;-0.0;0.0;-0.0;-0.0
5.483;0.0;0.0;-0.0;0.0;-0.0;-0.0
5.584;0.0;0.1;0.0;0.0;0.0;-0.0
5.639;0.0;0.1;0.0;0.0;0.0;-0.0
5.715;-0.0;-0.0;0.0;-0.0;-0.1;-0.0
5.853;-0.0;-0.0;0.0;-0.0;-0.1;-0.0
5.908;-0.0;-0.0;-0.0;-0.0;-0.1;0.0
5.975;-0.0;-0.0;-0.0;-0.0;-0.1;0.0
6.004;-0.0;-0.0;-0.0;-0.0;-0.1;0.0
6.039;-0.0;-0.0;-0.0;-0.0;-0.1;0.0
6.174;-0.0;-0.0;-0.0;-0.0;-0.1;0.0
6.239;-0.0;0.0;-0.0;-0.0;0.0;-0.0
6.346;0.0;0.0;-0.0;-0.0;0.0;-0.0
6.402;-0.0;0.0;-0.0;0.0;-0.0;-0.0
6.477;-0.0;0.0;-0.0;0.0;-0.0;-0.0
6.508;-0.0;0.0;-0.0;0.0;-0.0;-0.0
6.638;0.0;0.0;-0.0;0.0;-0.0;-0.0
6.711;0.0;0.0;-0.0;0.0;-0.0;-0.0
6.743;0.0;0.0;-0.0;0.0;-0.0;-0.0
6.87;0.0;0.0;-0.0;0.0;-0.0;-0.0
6.912;0.0;0.0;-0.0;0.0;-0.0;-0.0
7.004;0.0;0.0;-0.0;0.0;-0.0;-0.0
7.07;0.0;0.0;-0.0;0.0;-0.0;-0.0
7.103;0.0;0.0;-0.0;-0.0;-0.0;-0.0
7.137;0.0;0.0;-0.0;-0.0;0.0;-0.0
7.209;0.0;0.0;-0.0;-0.0;0.0;-0.1
7.277;0.0;0.0;-0.0;-0.0;0.0;-0.0
7.367;0.0;0.0;-0.0;-0.0;0.0;-0.0
7.47;0.0;0.0;-0.0;-0.0;0.0;-0.1
7.504;0.0;0.0;-0.0;0.0;0.0;-0.0
7.601;0.0;0.0;-0.0;0.0;0.0;-0.0
7.667;0.0;0.0;-0.0;0.0;0.0;-0.0
7.739;0.0;0.0;-0.0;0.0;0.0;-0.0
7.801;0.0;0.1;-0.0;0.0;0.0;-0.0
7.866;0.0;0.0;-0.0;0.0;0.0;-0.0
7.962;0.0;0.0;-0.0;0.0;0.0;-0.0
8.032;0.0;0.0;-0.0;0.0;-0.0;-0.0
8.133;0.0;0.0;-0.0;0.0;-0.0;-0.0
8.199;0.0;-0.0;-0.0;0.0;-0.0;-0.0
8.26;0.0;-0.0;-0.0;0.0;0.0;-0.0
8.295;0.0;-0.0;-0.0;0.0;0.0;-0.0
8.395;0.0;-0.0;-0.0;0.0;0.0;-0.0
8.472;0.0;-0.0;-0.0;-0.0;-0.0;-0.1
8.534;0.0;-0.0;-0.0;-0.0;-0.0;-0.1
8.601;0.0;-0.0;-0.0;-0.0;-0.0;-0.1
8.629;0.0;-0.0;-0.0;-0.0;-0.0;-0.0
8.738;0.0;-0.0;-0.0;-0.0;-0.0;-0.0
8.794;0.0;-0.0;-0.0;-0.0;-0.0;-0.0
8.929;0.0;-0.0;-0.0;-0.0;-0.0;-0.0
8.961;0.0;0.0;0.0;0.0;0.0;-0.0
9.091;-0.0;0.1;0.0;0.0;-0.0;0.0
9.159;-0.0;0.1;0.0;0.0;0.0;-0.0
9.248;-0.0;0.1;0.0;0.0;0.0;-0.0
9.389;-0.0;0.1;0.0;0.0;0.0;-0.0
9.424;-0.0;0.1;0.0;0.0;0.0;-0.0
9.496;-0.0;0.1;0.0;0.0;0.0;-0.0
9.558;-0.0;0.1;0.0;0.0;0.0;-0.0
9.626;-0.0;0.1;0.0;0.0;0.0;-0.0
9.691;0.0;0.1;0.0;0.0;0.0;-0.0
9.755;-0.0;0.1;0.0;0.0;-0.0;-0.0
9.809;-0.0;0.1;0.0;0.0;-0.0;-0.0
9.903;-0.0;0.1;0.0;0.0;-0.0;-0.0
9.955;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.023;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.089;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.154;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.222;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.253;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.285;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.421;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.495;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.517;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.619;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.691;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.753;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.819;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.884;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.919;-0.0;0.1;0.0;0.0;-0.0;-0.0
10.953;-0.0;0.0;-0.0;0.0;-0.0;0.0
11.053;-0.0;0.0;-0.0;0.0;-0.0;0.0
11.191;0.0;0.0;-0.0;0.0;0.0;-0.0
11.286;0.0;0.1;0.0;0.0;-0.0;-0.0
11.38;0.0;0.1;-0.0;-0.0;-0.0;-0.0
11.414;0.0;0.0;-0.0;-0.0;0.0;-0.0
11.448;0.0;0.1;0.0;0.0;0.0;-0.0
11.613;0.0;0.1;0.0;0.0;0.0;-0.0
11.745;0.0;0.1;0.0;-0.0;0.0;-0.0
11.824;0.0;0.1;0.0;-0.0;0.0;-0.1
11.916;0.0;0.1;0.0;-0.0;0.0;-0.0
11.953;0.0;0.1;0.0;-0.0;0.0;-0.0
12.045;0.0;0.1;0.0;-0.0;0.0;-0.0
12.142;0.0;0.1;0.0;-0.0;0.0;-0.0
12.212;0.0;0.1;0.0;-0.0;0.0;-0.0
12.242;0.0;0.1;0.0;-0.0;0.0;-0.0
12.276;0.0;0.1;0.0;-0.0;0.0;-0.0
12.344;0.0;0.1;0.0;-0.0;0.0;-0.0
12.456;0.0;0.1;0.0;-0.0;0.0;-0.0
12.509;0.0;0.1;0.0;-0.0;0.0;-0.0
12.55;0.0;0.1;0.0;-0.0;0.0;-0.0
12.579;0.0;0.1;0.0;-0.0;0.0;-0.0
12.674;0.0;0.1;0.0;-0.0;0.0;-0.0
12.741;0.0;0.1;0.0;-0.0;0.0;-0.0
12.811;0.0;0.1;0.0;0.0;0.0;-0.0
12.977;0.0;0.1;0.0;0.0;0.0;-0.0
13.14;0.0;0.1;0.0;0.0;0.0;-0.0
13.173;0.0;0.1;0.0;0.0;0.0;-0.0
13.208;0.0;0.1;0.0;0.0;-0.0;-0.0
13.242;-0.0;0.1;0.0;-0.0;0.0;0.0
13.345;-0.0;0.1;0.0;-0.0;0.0;0.0
13.445;-0.0;0.1;0.0;-0.0;0.0;0.0
13.472;0.0;0.1;0.0;-0.0;0.0;0.0
13.546;0.0;0.1;0.0;-0.0;0.0;0.0
13.64;-0.0;0.0;-0.0;-0.0;-0.0;0.0
13.711;0.0;-0.0;-0.0;-0.0;0.0;-0.0
13.744;0.0;0.0;-0.0;-0.0;0.0;-0.0
13.844;0.0;0.0;-0.0;-0.0;0.0;-0.0
13.912;0.0;0.0;-0.0;-0.0;0.0;-0.0
13.971;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.086;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.137;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.2;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.278;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.345;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.402;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.475;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.532;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.606;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.676;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.741;0.0;0.0;-0.0;-0.0;0.0;-0.0
14.804;0.0;0.1;0.0;-0.0;0.0;-0.0
14.904;0.0;0.1;0.0;-0.0;0.0;-0.0
14.971;0.0;0.1;0.0;-0.0;0.0;-0.0
15.001;0.0;0.1;0.0;-0.0;0.0;-0.0
15.072;0.0;0.1;0.0;-0.0;0.0;-0.0
15.199;0.0;0.1;0.0;-0.0;0.0;-0.0
15.273;0.0;0.1;0.0;-0.0;0.0;-0.0
15.33;0.0;0.1;0.0;-0.0;0.0;-0.0
15.399;0.0;0.1;0.0;-0.0;0.0;-0.0
15.462;0.0;0.1;0.0;-0.0;0.0;-0.0
15.532;0.0;0.1;0.0;-0.0;0.0;-0.0
15.562;0.0;0.1;0.0;-0.0;0.0;-0.0
15.631;0.0;0.1;-0.0;-0.0;0.0;-0.0
15.7;0.0;0.1;-0.0;-0.0;0.0;-0.0
15.761;0.0;0.0;0.0;-0.0;0.0;-0.0
15.828;0.0;0.0;0.0;-0.0;0.0;-0.0
15.933;0.0;0.1;0.0;-0.0;0.0;-0.0
15.997;0.0;0.1;0.0;-0.0;0.0;-0.0
16.035;0.0;0.1;0.0;-0.0;0.0;-0.0
16.163;0.0;0.1;0.0;-0.0;0.0;-0.0
16.227;0.0;0.1;0.0;-0.0;0.0;-0.0
16.328;0.0;0.1;0.0;-0.0;0.0;-0.0
16.357;0.0;0.1;0.0;-0.0;0.0;-0.0
16.428;0.0;0.1;0.0;-0.0;0.0;-0.0
16.49;0.0;0.1;0.0;-0.0;0.0;-0.0
16.561;0.0;0.1;0.0;-0.0;0.0;-0.0
16.595;0.0;0.1;0.0;-0.0;0.0;-0.0
16.66;0.0;0.1;0.0;-0.0;0.0;-0.0
16.79;0.0;0.1;0.0;-0.0;0.0;-0.0
16.955;0.0;0.0;-0.0;-0.0;0.0;-0.0
17.026;0.0;0.0;-0.0;-0.0;0.0;-0.0
17.091;-0.0;0.0;-0.0;-0.0;0.0;0.0
17.156;-0.0;0.0;-0.0;-0.0;-0.0;0.0
17.261;-0.0;0.0;-0.0;-0.0;-0.0;0.0
17.33;-0.0;0.0;-0.0;-0.0;-0.0;0.0
17.39;0.0;0.0;-0.0;-0.0;-0.0;-0.0
17.46;0.0;0.0;-0.0;-0.0;-0.0;-0.0
17.519;0.0;0.0;-0.0;-0.0;-0.0;-0.0
17.557;0.0;0.0;-0.0;0.0;-0.0;-0.0
17.654;0.0;0.0;-0.0;0.0;-0.0;-0.0
17.722;0.0;0.0;-0.0;0.0;-0.0;-0.0
17.787;0.0;0.0;0.0;-0.0;-0.0;0.0
17.89;0.0;0.0;0.0;0.0;-0.0;0.0
17.928;0.0;0.0;0.0;0.0;-0.0;0.0
17.988;0.0;0.0;0.0;0.0;-0.0;0.0
18.057;0.0;0.0;0.0;0.0;-0.0;-0.0
18.15;0.0;0.0;0.0;0.0;-0.0;-0.0
18.22;0.0;0.0;0.0;0.0;-0.0;-0.0
18.297;0.0;0.0;0.0;-0.0;-0.0;-0.0
18.35;0.0;0.1;0.0;-0.0;-0.0;-0.0
18.484;0.0;0.1;0.0;-0.0;-0.0;-0.0
18.523;0.0;0.1;0.0;-0.0;0.0;-0.0
18.618;0.0;0.1;0.0;-0.0;0.0;-0.0
18.65;0.0;0.1;0.1;0.0;0.0;-0.1
18.681;0.0;0.1;0.1;0.0;0.0;-0.1
18.752;0.0;0.1;0.1;0.0;0.0;-0.1
18.898;0.0;0.1;0.1;0.0;0.0;-0.1
18.949;0.0;0.1;0.1;0.0;0.0;-0.1
19.017;0.0;0.1;0.1;0.0;0.0;-0.1
19.117;0.0;0.1;0.1;0.0;0.0;-0.0
19.178;0.0;0.1;0.1;0.0;0.0;-0.0
19.249;0.0;0.1;0.1;0.0;0.0;-0.0
19.313;0.0;0.1;0.1;0.0;0.0;-0.0
19.378;0.0;0.1;0.1;0.0;0.0;-0.0
19.412;0.0;0.1;0.0;0.0;0.0;-0.0
19.512;0.0;0.1;0.0;0.0;0.0;-0.0
19.577;0.0;0.1;0.0;0.0;0.0;-0.0
19.611;-0.0;0.1;0.0;0.0;-0.0;-0.0
19.652;-0.0;0.1;0.0;0.0;-0.0;0.0
19.78;-0.0;0.1;0.0;0.0;-0.0;0.0
19.824;-0.0;0.1;0.0;0.0;-0.0;0.0
19.879;-0.0;0.1;0.0;0.0;-0.0;0.0
19.977;-0.0;0.1;0.0;0.0;-0.0;0.0
20.047;0.0;0.1;0.0;0.0;-0.0;-0.0
