Time_Sec;True_Lateral;True_Longitudinal;True_Vertical;True_Pitch;True_Yaw;True_Roll
103.48;0.0;0.0;-0.0;0.0;-0.0;-0.0
103.586;0.0;0.0;-0.0;0.0;-0.0;-0.0
103.713;0.0;0.0;-0.0;0.0;-0.0;-0.0
103.824;0.0;0.0;-0.0;0.0;-0.0;-0.0
103.937;0.0;0.0;-0.0;0.0;-0.0;-0.0
104.04;0.0;0.0;-0.0;0.0;-0.0;-0.0
104.142;0.0;0.0;-0.0;0.0;-0.0;-0.0
104.258;0.0;0.0;-0.0;0.0;-0.0;-0.0
104.37;0.0;0.0;-0.0;0.0;-0.0;-0.0
104.479;0.0;0.0;-0.0;0.0;-0.0;-0.0
104.588;0.0;0.0;-0.0;0.0;-0.0;-0.0
104.699;0.0;0.0;-0.0;0.0;-0.0;-0.0
104.811;0.0;0.0;-0.0;0.0;-0.0;-0.0
104.914;0.0;0.0;-0.0;0.0;-0.0;-0.0
105.019;0.0;0.0;-0.0;0.0;-0.0;-0.0
105.119;0.0;0.0;-0.0;0.0;-0.0;-0.0
105.246;0.0;0.0;-0.0;0.0;-0.0;-0.0
105.35;0.0;0.0;-0.0;0.0;-0.0;-0.0
105.463;0.0;0.0;-0.0;0.0;-0.0;-0.0
105.575;0.0;0.0;-0.0;0.0;-0.0;-0.0
105.682;0.0;0.0;-0.0;0.0;-0.0;-0.0
105.796;0.0;0.0;-0.0;0.0;-0.0;-0.0
105.904;0.0;0.0;-0.0;0.0;-0.0;-0.0
106.015;0.0;0.0;-0.0;0.0;-0.0;-0.0
106.118;0.0;0.0;-0.0;0.0;-0.0;-0.0
106.22;0.0;0.0;-0.0;0.0;-0.0;-0.0
106.335;0.0;-0.07625;-0.0;0.0;-0.0;-0.0
106.442;0.0;-0.8225;-0.0;0.0;-0.0;-0.0
106.555;0.0;-1.3325;-0.0;0.0;-0.0;-0.0
106.661;0.0;-1.84375;-0.0;0.0;-0.0;-0.0
106.775;0.0;-2.34875;-0.0;0.0;-0.0;-0.0
106.886;0.0;-2.85875;-0.0;0.0;-0.0;-0.0
106.994;0.0;-3.36875;-0.0;0.0;-0.0;-0.0
107.1;0.0;-4.1325;-0.0;0.0;-0.0;-0.0
107.218;0.0;-4.64375;-0.0;0.0;-0.0;-0.0
107.324;0.0;-5.0;-0.0;0.0;-0.0;-0.0
107.438;0.0;-5.0;-0.0;0.0;-0.0;-0.0
107.549;0.0;-5.0;-0.0;0.0;-0.0;-0.0
107.657;0.0;-5.0;-0.0;0.0;-0.0;-0.0
107.772;0.0;-5.0;-0.0;0.0;-0.0;-0.0
107.879;0.0;-5.0;-0.0;0.0;-0.0;-0.0
107.982;0.0;-5.0;-0.0;0.0;-0.0;-0.0
108.091;0.0;-5.0;-0.0;0.0;-0.0;-0.0
108.212;0.0;-5.0;-0.0;0.0;-0.0;-0.0
108.323;0.0;-5.0;-0.0;0.0;-0.0;-0.0
108.424;0.0;-5.0;-0.0;0.0;-0.0;-0.0
108.535;0.0;-5.0;-0.0;0.0;-0.0;-0.0
108.643;0.0;-5.0;-0.0;0.0;-0.0;-0.0
108.752;0.0;-5.0;-0.0;0.0;-0.0;-0.0
108.853;0.0;-5.0;-0.0;0.0;-0.0;-0.0
108.965;0.0;-5.0;-0.0;0.0;-0.0;-0.0
109.068;0.0;-5.0;-0.0;0.0;-0.0;-0.0
109.178;0.0;-5.0;-0.0;0.0;-0.0;-0.0
109.29;0.0;-5.0;-0.0;0.0;-0.0;-0.0
109.39;0.0;-5.0;-0.0;0.0;-0.0;-0.0
109.491;0.0;-5.0;-0.0;0.0;-0.0;-0.0
109.591;0.0;-4.9625;-0.0;0.0;-0.0;-0.0
109.692;0.0;-4.495;-0.0;0.0;-0.0;-0.0
109.792;0.0;-3.98625;-0.0;0.0;-0.0;-0.0
109.893;0.0;-3.4825;-0.0;0.0;-0.0;-0.0
109.998;0.0;-2.97375;-0.0;0.0;-0.0;-0.0
110.1;0.0;-2.465;-0.0;0.0;-0.0;-0.0
110.206;0.0;-1.9625;-0.0;0.0;-0.0;-0.0
110.312;0.0;-1.45375;-0.0;0.0;-0.0;-0.0
110.42;0.0;-0.9475;-0.0;0.0;-0.0;-0.0
110.53;0.0;-0.44375;-0.0;0.0;-0.0;-0.0
110.634;0.0;-0.015;-0.0;0.0;-0.0;-0.0
110.735;0.0;0.0;-0.0;0.0;-0.0;-0.0
110.844;0.0;0.0;-0.0;0.0;-0.0;-0.0
110.957;0.0;0.0;-0.0;0.0;-0.0;-0.0
111.07;0.0;0.0;-0.0;0.0;-0.0;-0.0
111.179;0.0;0.0;-0.0;0.0;-0.0;-0.0
111.282;0.0;0.0;-0.0;0.0;-0.0;-0.0
111.382;0.0;0.0;-0.0;0.0;-0.0;-0.0
111.494;0.0;0.0;-0.0;0.0;-0.0;-0.0
111.605;0.0;0.0;-0.0;0.0;-0.0;-0.0
111.718;0.0;0.0;-0.0;0.0;-0.0;-0.0
111.819;0.0;0.0;-0.0;0.0;-0.0;-0.0
111.936;0.0;0.0;-0.0;0.0;-0.0;-0.0
112.051;0.0;0.0;-0.0;0.0;-0.0;-0.0
112.162;0.0;0.0;-0.0;0.0;-0.0;-0.0
112.273;0.0;0.0;-0.0;0.0;-0.0;-0.0
112.382;0.0;0.0;-0.0;0.0;-0.0;-0.0
112.493;0.0;0.0;-0.0;0.0;-0.0;-0.0
112.603;0.0;0.0;-0.0;0.0;-0.0;-0.0
112.717;0.0;0.0;-0.0;0.0;-0.0;-0.0
112.832;0.0;0.0;-0.0;0.0;-0.0;-0.0
112.938;-0.0;0.09;0.0;0.0;-0.0;-0.0
113.053;-0.0;0.59125;0.0;0.0;-0.0;-0.0
113.161;-0.0;1.095;0.0;0.0;-0.0;-0.0
113.263;-0.0;1.8575;0.0;0.0;-0.0;-0.0
113.388;-0.0;2.36125;0.0;0.0;-0.0;-0.0
113.5;-0.0;2.87375;0.0;0.0;-0.0;-0.0
